City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,64,NZ,1554327009,88,-46.19,168.86,52.0,14.67
aswan,0,EG,1554321600,26,24.09,32.9,78.8,10.29
castro,90,CL,1554325200,100,-42.48,-73.76,50.0,11.41
lorengau,64,PG,1554327073,100,-2.02,147.27,80.82,8.75
bluff,0,AU,1554327074,81,-23.58,149.07,65.88,11.43
rikitea,12,PF,1554327076,100,-23.12,-134.97,74.7,20.49
albany,20,US,1554326941,32,42.65,-73.75,53.6,21.92
cherskiy,0,RU,1554327078,65,68.75,161.3,20.25,2.71
vaini,0,IN,1554327080,91,15.34,74.49,68.31,1.25
powell river,90,CA,1554327040,87,49.84,-124.52,52.0,6.93
barstow,1,US,1554326535,8,31.46,-103.39,86.0,16.11
ushuaia,75,AR,1554325200,81,-54.81,-68.31,44.6,34.45
ponta do sol,76,BR,1554327085,84,-20.63,-46.0,71.55,4.83
cape town,20,ZA,1554326891,93,-33.93,18.42,64.0,8.05
khandyga,8,RU,1554327087,67,62.65,135.58,9.63,2.37
santa marta,40,CO,1554326708,44,11.24,-74.21,93.2,18.34
hasaki,40,JP,1554327028,100,35.73,140.83,32.0,1.12
muisne,90,EC,1554325200,83,0.61,-80.02,80.6,6.93
northam,20,GB,1554327085,100,51.04,-4.21,39.99,6.93
new norfolk,40,AU,1554327015,80,-42.78,147.06,43.0,5.82
puerto ayora,20,EC,1554327051,59,-0.74,-90.35,89.6,17.22
khatanga,92,RU,1554327098,91,71.98,102.47,16.38,10.65
ahuimanu,75,US,1554327048,73,21.44,-157.84,82.4,10.29
maloy,20,ID,1554327101,97,1.0,118.1,72.36,1.92
hobart,75,AU,1554326775,80,-42.88,147.33,43.0,3.36
airai,80,TL,1554327103,79,-8.93,125.41,69.57,1.36
atuona,48,PF,1554327105,100,-9.8,-139.03,81.63,15.35
jamestown,68,AU,1554327106,67,-33.21,138.6,57.87,5.5
kulhudhuffushi,56,MV,1554327108,100,6.62,73.07,80.46,5.39
sao filipe,12,CV,1554327109,97,14.9,-24.5,70.38,16.35
gainsborough,24,GB,1554327082,93,53.4,-0.77,41.0,8.05
hermanus,80,ZA,1554327065,78,-34.42,19.24,61.0,1.01
vao,0,EE,1554327113,77,59.1,26.19,35.37,9.19
angoche,88,MZ,1554327115,100,-16.23,39.91,80.46,13.22
east london,32,ZA,1554327116,100,-33.02,27.91,72.0,25.75
georgetown,20,GY,1554325200,74,6.8,-58.16,84.2,16.11
mehamn,90,NO,1554324600,92,71.03,27.85,32.0,14.99
kharovsk,0,RU,1554327120,61,59.95,40.21,16.38,2.93
villa rica,80,PE,1554327121,92,-10.74,-75.27,72.18,2.04
bredasdorp,44,ZA,1554325200,87,-34.53,20.04,60.8,8.05
bethel,1,US,1554324960,64,60.79,-161.76,39.2,20.8
kumluca,88,TR,1554327126,98,36.37,30.29,40.77,1.59
gravdal,20,NO,1554327078,65,59.79,5.78,46.4,4.7
ribeira grande,40,PT,1554325200,62,38.52,-28.7,57.2,2.24
cabo san lucas,5,MX,1554326738,60,22.89,-109.91,90.0,8.05
hithadhoo,36,MV,1554327131,100,-0.6,73.08,79.74,4.38
hofn,88,IS,1554327132,100,64.25,-15.21,35.82,8.75
dingle,8,PH,1554327134,88,11.0,122.67,73.98,8.08
bandar-e lengeh,0,IR,1554325200,57,26.56,54.88,77.0,13.0
ilulissat,75,GL,1554324600,85,69.22,-51.1,17.6,16.11
yellowknife,20,CA,1554327054,54,62.45,-114.38,7.0,12.75
tiksi,80,RU,1554327139,77,71.64,128.87,23.67,6.85
meulaboh,24,ID,1554327140,100,4.14,96.13,78.93,4.16
nanortalik,68,GL,1554327142,100,60.14,-45.24,31.5,30.78
tasiilaq,0,GL,1554324600,92,65.61,-37.64,30.2,17.22
san quintin,36,PH,1554327144,87,17.54,120.52,69.03,3.38
pevek,0,RU,1554327145,65,69.7,170.27,17.01,1.7
punta arenas,75,CL,1554326547,60,-53.16,-70.91,44.6,33.33
sawankhalok,0,TH,1554327090,51,17.31,99.83,86.0,2.93
butaritari,92,KI,1554327149,100,3.07,172.79,77.67,1.59
santa cruz,20,US,1554327043,72,36.97,-122.03,64.99,3.36
busselton,56,AU,1554327089,57,-33.64,115.35,63.0,18.59
ikwiriri,20,TZ,1554327155,86,-7.96,38.99,75.42,3.38
upernavik,80,GL,1554327156,88,72.79,-56.15,25.38,42.97
ambilobe,20,MG,1554327157,95,-13.19,49.05,72.0,3.27
nizwa,8,OM,1554327159,44,22.93,57.53,63.9,3.38
churapcha,0,RU,1554327161,68,62.0,132.43,11.43,2.71
nangomba,0,TZ,1554327162,61,-10.9,38.52,72.45,6.96
kununurra,8,AU,1554325200,64,-15.77,128.74,71.6,4.7
antofagasta,0,CL,1554325200,49,-23.65,-70.4,69.8,8.05
cocorit,40,MX,1554324060,37,27.57,-109.96,84.2,12.75
beringovskiy,92,RU,1554327168,98,63.05,179.32,28.17,20.04
port hardy,75,CA,1554325800,76,50.7,-127.42,51.8,6.93
medea,75,DZ,1554325200,77,36.27,2.77,59.0,2.24
coihaique,40,CL,1554325200,50,-45.58,-72.07,57.2,6.93
hilo,40,US,1554327140,65,19.71,-155.08,80.01,11.41
abong mbang,0,CM,1554327174,85,3.98,13.18,72.72,2.15
lasa,40,CY,1554325200,87,34.92,32.53,57.2,6.93
verkhoyansk,24,RU,1554327177,71,67.55,133.39,7.92,2.59
quatre cocos,75,MU,1554326944,94,-20.21,57.76,77.0,3.36
qaanaaq,64,GL,1554327180,88,77.48,-69.36,11.97,5.95
chumikan,0,RU,1554327181,65,54.72,135.31,8.1,3.15
haljala,0,EE,1554327182,77,59.43,26.27,35.37,9.19
san cristobal,90,EC,1554327129,87,-0.39,-78.55,59.0,9.17
niksar,88,TR,1554327185,100,40.59,36.95,37.08,1.25
luderitz,0,NA,1554327186,87,-26.65,15.16,58.77,11.43
kapaa,75,US,1554326907,54,22.08,-159.32,78.8,12.75
saskylakh,56,RU,1554327189,83,71.97,114.09,21.87,5.39
saint pete beach,90,US,1554327170,42,27.73,-82.74,82.99,8.05
batagay,64,RU,1554327191,67,67.65,134.64,9.63,2.82
los llanos de aridane,20,ES,1554326761,52,28.66,-17.92,64.4,9.17
cidreira,36,BR,1554327194,86,-30.17,-50.22,77.04,1.81
henties bay,0,NA,1554325329,91,-22.12,14.28,60.01,3.0
camalu,12,MX,1554327197,41,30.85,-116.07,68.4,10.54
provideniya,40,RU,1554325200,73,64.42,-173.23,26.6,15.66
fairbanks,20,US,1554327118,35,64.84,-147.72,26.01,16.11
pervomayskoye,80,RU,1554327201,76,57.07,86.23,27.54,4.27
port moresby,75,PG,1554321600,94,-9.47,147.16,75.2,6.93
kalabo,100,ZM,1554327203,32,-15.0,22.67,77.13,8.41
arraial do cabo,0,BR,1554325200,69,-22.97,-42.02,78.8,5.82
fortuna,0,ES,1554327158,87,38.18,-1.13,64.0,2.24
mahebourg,75,MU,1554326944,94,-20.41,57.7,77.0,3.36
nakhon si thammarat,80,TH,1554327209,100,8.43,99.96,82.62,4.94
beaufort,75,MY,1554325200,94,5.36,115.76,78.01,2.48
tuktoyaktuk,90,CA,1554325200,70,69.44,-133.03,1.4,11.41
praia da vitoria,75,PT,1554327062,76,38.73,-27.07,57.2,20.49
navahrudak,0,BY,1554327214,50,53.59,25.82,36.54,11.32
bandarbeyla,92,SO,1554327215,100,9.49,50.81,79.74,2.37
ahvaz,0,IR,1554325200,52,31.32,48.68,68.0,2.24
asosa,0,ET,1554327218,29,10.07,34.53,65.16,5.17
grand gaube,75,MU,1554326944,94,-20.01,57.66,77.0,3.36
vostok,44,RU,1554327221,70,46.45,135.83,20.88,2.37
avarua,92,CK,1554325200,74,-21.21,-159.78,80.6,6.93
longyearbyen,40,NO,1554324600,84,78.22,15.63,6.8,5.82
cockburn town,0,TC,1554327224,99,21.46,-71.14,79.65,10.65
makakilo city,20,US,1554327048,51,21.35,-158.09,82.4,5.82
barrow,0,AR,1554327228,36,-38.31,-60.23,72.45,12.77
hami,0,CN,1554327229,53,42.84,93.51,47.07,4.16
alice springs,0,AU,1554325200,30,-23.7,133.88,53.6,6.93
saint-philippe,1,CA,1554327207,36,45.36,-73.48,46.4,34.45
port elizabeth,1,US,1554327188,20,39.31,-74.98,68.0,18.34
kosonsoy,24,UZ,1554325200,67,41.25,71.55,62.6,4.7
margate,40,AU,1554327196,80,-43.03,147.26,43.0,5.82
mount gambier,90,AU,1554325200,81,-37.83,140.78,53.6,10.29
montepuez,88,MZ,1554327239,89,-13.13,39.0,69.48,7.52
gharghoda,8,IN,1554327240,54,22.18,83.36,69.12,2.93
bilibino,12,RU,1554327241,82,68.06,166.44,18.0,2.15
coahuayana,0,MX,1554327243,22,18.62,-100.35,88.65,3.15
adre,0,TD,1554327244,22,13.47,22.2,73.17,9.64
ishigaki,75,JP,1554325200,83,24.34,124.16,71.6,17.22
umm lajj,0,SA,1554327247,96,25.02,37.27,63.09,5.73
